event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fl_peakflux	fl_peakfluxunit	fl_peaktemp	fl_peaktempunit	fl_peakem	fl_peakemunit	fl_efoldtime	fl_efoldtimeunit	fl_fluence	fl_fluenceunit
FL	2013-10-28T04:45:58	POINT(-499.2 -192)	POLYGON((-537.6 -230.4,-460.8 -230.4,-460.8 -153.6,-537.6 -153.6,-537.6 -230.4))		POINT(-31.273055 -7.3672311)	POLYGON((-34.249417 -9.832468,-28.811852 -9.589986,-28.485189 -4.941352,-33.831211 -5.174772,-34.249417 -9.832468))			40.3094	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T07:57:10	POINT(-499.2 -192)	POLYGON((-537.6 -230.4,-460.8 -230.4,-460.8 -153.6,-537.6 -153.6,-537.6 -230.4))		POINT(-31.272654 -7.3776063)	POLYGON((-34.249223 -9.842388,-28.811733 -9.600556,-28.484608 -4.952128,-33.830484 -5.184917,-34.249223 -9.842388))			96.398	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T08:54:58	POINT(-499.2 -192)	POLYGON((-537.6 -230.4,-460.8 -230.4,-460.8 -153.6,-537.6 -153.6,-537.6 -230.4))		POINT(-31.272533 -7.3807472)	POLYGON((-34.249166 -9.845391,-28.811698 -9.603756,-28.484433 -4.955391,-33.830265 -5.187988,-34.249166 -9.845391))			54.2823	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T09:15:22	POINT(-499.2 -192)	POLYGON((-537.6 -230.4,-460.8 -230.4,-460.8 -153.6,-537.6 -153.6,-537.6 -230.4))		POINT(-31.272491 -7.3818563)	POLYGON((-34.249146 -9.846452,-28.811685 -9.604886,-28.484372 -4.956542,-33.830188 -5.189072,-34.249146 -9.846452))			54.1387	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T09:20:22	POINT(960 115.2)	POLYGON((921.6 76.8,998.4 76.8,998.4 153.6,921.6 153.6,921.6 76.8))		POINT(89.701887 6.8414985)	POLYGON((73.327253 5.929585,89.904448 4.405798,89.543078 8.738332,75.635883 10.345559,73.327253 5.929585))			294.387	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T09:21:22	POINT(-499.2 -192)	POLYGON((-537.6 -230.4,-460.8 -230.4,-460.8 -153.6,-537.6 -153.6,-537.6 -230.4))		POINT(-31.272478 -7.3821825)	POLYGON((-34.24914 -9.846764,-28.811682 -9.605218,-28.484353 -4.956881,-33.830166 -5.189391,-34.24914 -9.846764))			60.608	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T09:28:22	POINT(-806.4 -268.8)	POLYGON((-844.8 -307.2,-768 -307.2,-768 -230.4,-844.8 -230.4,-844.8 -307.2))		POINT(-59.034678 -13.723025)	POLYGON((-65.663311 -16.611576,-55.545069 -15.860365,-53.888549 -11.000509,-63.033947 -11.659766,-65.663311 -16.611576))			45.6685	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T09:28:58	POINT(-499.2 -192)	POLYGON((-537.6 -230.4,-460.8 -230.4,-460.8 -153.6,-537.6 -153.6,-537.6 -230.4))		POINT(-31.272462 -7.3825958)	POLYGON((-34.249132 -9.847159,-28.811677 -9.605639,-28.484331 -4.957311,-33.830137 -5.189795,-34.249132 -9.847159))			74.0492	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T09:51:58	POINT(-499.2 -192)	POLYGON((-537.6 -230.4,-460.8 -230.4,-460.8 -153.6,-537.6 -153.6,-537.6 -230.4))		POINT(-31.272415 -7.3838467)	POLYGON((-34.24911 -9.848355,-28.811663 -9.606914,-28.484261 -4.95861,-33.83005 -5.191018,-34.24911 -9.848355))			58.1896	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T09:57:46	POINT(-499.2 -192)	POLYGON((-537.6 -307.2,-460.8 -307.2,-460.8 -153.6,-537.6 -153.6,-537.6 -307.2))		POINT(-31.272402 -7.3841622)	POLYGON((-34.968069 -14.616606,-29.377467 -14.361149,-28.484244 -4.958938,-33.830028 -5.191327,-34.968069 -14.616606))			60.8753	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T10:25:34	POINT(-499.2 -192)	POLYGON((-537.6 -230.4,-460.8 -230.4,-460.8 -153.6,-537.6 -153.6,-537.6 -230.4))		POINT(-31.272345 -7.3856747)	POLYGON((-34.249077 -9.850103,-28.811643 -9.608776,-28.48416 -4.960509,-33.829923 -5.192806,-34.249077 -9.850103))			103.331	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T11:09:22	POINT(652.8 -345.6)	POLYGON((537.6 -460.8,768 -460.8,768 -230.4,537.6 -230.4,537.6 -460.8))		POINT(44.977494 -17.588074)	POLYGON((37.632665 -24.686956,62.312924 -26.321217,53.888052 -11.004101,34.249034 -9.852382,37.632665 -24.686956))			355.084	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T11:16:34	POINT(-422.4 -192)	POLYGON((-537.6 -230.4,-384 -230.4,-384 -76.8,-537.6 -76.8,-537.6 -230.4))		POINT(-26.036535 -7.1766132)	POLYGON((-34.249027 -9.852757,-23.65992 -9.41839,-23.318869 -0.201486,-33.672226 -0.611368,-34.249027 -9.852757))			319.56	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T13:33:46	POINT(-806.4 -268.8)	POLYGON((-844.8 -307.2,-768 -307.2,-768 -230.4,-844.8 -230.4,-844.8 -307.2))		POINT(-59.033356 -13.730338)	POLYGON((-65.661124 -16.616931,-55.544659 -15.868444,-53.887347 -11.009244,-63.031452 -11.666126,-65.661124 -16.616931))			48.0041	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T13:56:10	POINT(-806.4 -268.8)	POLYGON((-844.8 -307.2,-768 -307.2,-768 -230.4,-844.8 -230.4,-844.8 -307.2))		POINT(-59.033237 -13.731006)	POLYGON((-65.660926 -16.617421,-55.544623 -15.869182,-53.887237 -11.010043,-63.031225 -11.666707,-65.660926 -16.617421))			69.6394	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T14:02:22	POINT(960 115.2)	POLYGON((921.6 76.8,1075.2 76.8,1075.2 230.4,921.6 230.4,921.6 76.8))		POINT(89.718657 6.8427857)	POLYGON((73.315617 5.924733,89.946116 4.094981,89.278997 12.076729,80.150344 14.641798,73.315617 5.924733))			1170.27	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T14:08:22	POINT(-422.4 -268.8)	POLYGON((-460.8 -307.2,-384 -307.2,-384 -230.4,-460.8 -230.4,-460.8 -307.2))		POINT(-26.427536 -11.877799)	POLYGON((-29.377949 -14.374737,-24.101815 -14.171586,-23.659861 -9.428398,-28.811513 -9.621144,-29.377949 -14.374737))			33.3813	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T14:30:10	POINT(960 192)	POLYGON((921.6 153.6,998.4 153.6,998.4 230.4,921.6 230.4,921.6 153.6))		POINT(89.331139 11.293462)	POLYGON((75.619755 10.340908,89.546262 8.738497,89.188033 12.972298,80.148246 14.641539,75.619755 10.340908))			137.364	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T14:46:58	POINT(-422.4 -192)	POLYGON((-614.4 -307.2,-384 -307.2,-384 0,-614.4 0,-614.4 -307.2))		POINT(-26.036205 -7.1887162)	POLYGON((-41.007635 -14.948617,-24.101884 -14.173793,-23.38797 4.326614,-39.422523 3.643444,-41.007635 -14.948617))			1691.62	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T15:16:46	POINT(-806.4 -268.8)	POLYGON((-844.8 -307.2,-768 -307.2,-768 -230.4,-844.8 -230.4,-844.8 -307.2))		POINT(-59.032806 -13.733414)	POLYGON((-65.660213 -16.619185,-55.544492 -15.871842,-53.886846 -11.012918,-63.030409 -11.668802,-65.660213 -16.619185))			55.2044	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T15:32:46	POINT(960 38.4)	POLYGON((921.6 0,998.4 0,998.4 76.8,921.6 76.8,921.6 0))		POINT(83.986706 2.7791842)	POLYGON((72.367091 1.429418,89.732576 0.022026,89.906376 4.405841,73.311889 5.923173,72.367091 1.429418))			345.518	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T15:38:58	POINT(960 38.4)	POLYGON((921.6 0,998.4 0,998.4 153.6,921.6 153.6,921.6 0))		POINT(83.986068 2.7791888)	POLYGON((72.366876 1.429308,89.732576 0.022025,89.54697 8.738534,75.616175 10.339871,72.366876 1.429308))			963.222	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T17:36:22	POINT(-806.4 -268.8)	POLYGON((-844.8 -307.2,-768 -307.2,-768 -230.4,-844.8 -230.4,-844.8 -307.2))		POINT(-59.032065 -13.737591)	POLYGON((-65.658983 -16.622246,-55.544269 -15.876456,-53.88617 -11.017906,-63.029 -11.672435,-65.658983 -16.622246))			56.7164	erg/cm/cm/s	null		null		null		null	
